abstract_en	authors	id	journal	journal_en	keywords_en	response_url	title	title_en
"Objective: We know that the new corona virus( Corona Virus Disease 2019,COVID-19) can enter host cells through angiotensin-converting-enzyme Ⅱ( ACE2) cell receptors. And previous studies have shown that ACE2 mRNA is normally expressed in digested system cells. But the expression of ACE2 protein in normal digestive system,the expression of ACE2 mRNA and its protein in digestive system tumors have not been reported. Therefore,this article aims to explore the expression of ACE2 in digestive tract and its tumors,in order to provide a reference for the prevention and treatment of patients with digestive system tumors. Methods: The expression of ACE2 mRNA and protein in digestive system tumors was analyzed by GEPIA online analysis website and HPA database. Results: Among all normal tissues,there were high expression levels of ACE2 mRNA and protein in digestive tract tissues. Among all tumor tissues,there were also high expression levels of ACE2 protein in digestive tract tumors. The expression of ACE2 mRNA in lung,colon,esophageal and gastric cancers was higher than that in normal tissues,and the expression of ACE2 mRNA in colon and gastric cancers was statistically significant than their normal tissues. In addition,the expression of ACE2 mRNA was also higher in colon and gastric cancers than lung cancer. Conclusion: The expression of ACE2 is relatively higher in human digestive system. This result provides some evidence for the transmission of digestive system,which may be the infection route of COVID-19. And the expression of ACE2 in patients with gastrointestinal tumors is higher than their normal tissues. In order to prevent this possible infection route of the digestive system,the protection of patients with gastrointestinal cancer should be paid great attention."	张明鑫;路宁;王佳;朱琳;崔曼莉	679	现代肿瘤医学	Journal of Modern Oncology	N/A	http://new.oversea.cnki.net/kcms/detail/61.1415.R.20200218.1020.002.html	新型冠状病毒细胞受体血管紧张素转化酶Ⅱ在消化道及其肿瘤中的表达	Expression analysis of COVID-19 cell receptor ACE2 in digestive tract and its tumors
"Following the severe acute respiratory syndrome corona virus (SARS-CoV) and Middle East respiratory syndrome corona virus (MERS-CoV), another highly pathogenic corona virus called SARS-CoV-2 (previously known as 2019-nCoV) has caused pandemic pneumonia named COVID-19 in China and has been putting the whole world on alert since December 2019. SARS-CoV-2 shares highly homological sequence and similar pathogenesis with SARS-CoV, and makes use of the same receptor as SARS-CoV for its invasion. The receptor of SARS-CoV is distributed widely on the cell membrane of neurons as well as on the mucous membrane of the respiratory tract and alveolar epithelial cells. Therefore, SARS-CoV-2 may also have similar neuroinvasion ability. Based on the public data, the most distinctive symptom of COVID-19 patients is respiratory distress, and most patients admitted to the intensive care could not breathe spontaneously. In addition, some COVID-19 patients did show neurologic signs such as headache, nausea and vomiting. It is quite likely that its potential neuroinvasion is one cause leading to the SARS-CoV-2-induced respiratory failure. Importantly, some corona viruses have been shown able to spread to the brain stem via the respiratory mechano- and chemoreceptors in the lung and lower respiratory airways, and subsequently destroy the central neurons in charge of respiratory sensation and movement in experimental animals. It is presumed that the neuroinvasion ability of SARS-CoV-2 may be the one cause of respiratory distress developing in severe COVID-19 patients. It is important to be aware of the potential neuroinvasion of SARS-CoV-2 for the prevention and treatment of the COVID-19-related respiratory distress."	李艳超;白万柱;端川勉	965	医学争鸣	Negative	SARS-CoV-2; neuroinvasion; respiratory distress syndrome;	http://new.oversea.cnki.net/kcms/detail/61.1481.r.20200225.0817.002.html	潜在的神经侵袭特性可能是新型冠状病毒肺炎患者呼吸窘迫的原因之一	Potential neuroinvasion may be one cause of respiratory distress in COVID-19 patients
"Operation and management measures of production workshop’ s control and prevention of 2019-nCoV are explored,the advantages and disadvantages of various disinfection and purification methods are analyzed and the necessity of strengthening indoor ventilation is pointed out.Meanwhile,the correct use of air conditioning system during epidemic is introduced,and it is believed that the evaporative cooling air conditioning system has better filtration and barrier effects on the new coronavirus."	黄翔;寇凡;常健佩;吴磊;金洋帆	976	西安工程大学学报	Journal of Xi’an Polytechnic University	2019-nCoV; production workshop; purification treatment; ventilation and air conditioning; fresh air; evaporative cooling;	http://new.oversea.cnki.net/kcms/detail/61.1471.N.20200224.1205.002.html	生产车间空调应对“新型冠状病毒”的运行管理措施	Operation management measures of air conditioning system’s prevention of 2019-nCoV in production workshop
"Rapid and accurate detection of contagium virus is a key tool for controlling the outbreak. As the number of patients infected with 2019 novel coronavirus(2019-nCoV or SARS-CoV-2) pneumonia is increasing and the epidemic is spreading, many hospitals, laboratories and pharmaceutical companies have developed diagnostic reagents that can detect SARS-CoV-2. Currently, genome sequencing or real-time PCR is the approach to detect SARS-CoV-2. However, there have been reported the clinical patients with pneumonia of negative results by SARS-CoV-2 nucleic acid detection but positive on the radiological CT scan.. It brings new challenges to the clinical practitioners since it is unclear for the specificity of CT to diagnose the 2019-nCoV pneumonia(NCP). Therefore, how to improve the diagnostic efficiency and the sensitivity of molecular detection remains to be solved. To analyze the variations in viral genomic sequence may be helpful in guiding the prevention and treatment of diseases infected by SARS-CoV-2. At present, controversy still exists over the source of SARS-CoV-2 even though the probable origin is bat in nature. This article summarizes the recent findings of SARS-CoV-2 from genetic, virological and evolutionary biological perspectives. By comparing the genomic variations among SARS-CoV-2 infected patients, we hope the findings can be used in the viral detection and potential antiviral therapy. Also, it will be great if we can trace the spread of the virus from one person to another, which will be a much effective way to predict and control the spread from the virus-carrier without symptoms at the incubation period to the others."	熊子军;张喆;王雅琦;朱德芹;郭佑民	1003	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	N/A	http://new.oversea.cnki.net/kcms/detail/61.1399.R.20200224.0933.008.html	新型冠状病毒基因组变异与诊断	Genomic variations of SARS-COV-2 and detection
"Since December 2019, a number of patients with pneumonitis infected by the novel coronavirus(SARS-CoV-2) have been detected in Wuhan City, Hubei Province, as the center. The initial reported patients were mainly middle-aged and elderly, and children had low incidence and were not susceptible. As the number of children infected gradually increased, the infection spread to premature babies, infants and young children, and severe cases in children have now occurred. Susceptibility characteristics of the entire population have been identified in the latest diagnosis and treatment plan. At present, the proportion of children affected by the disease is relatively low, but it still deserves enough attention. The epidemiology of novel coronavirus pneumonia in children and adults is unclear, and there is no specific drug for treatment, which brings great difficulties to epidemic prevention and control and clinical treatment. Early identification of epidemiological characteristics and effective treatment with drugs are the key to preventing and controlling this new epidemic. This article analyzes the pathogenic characteristics of SARS-CoV-2, epidemiological characteristics of the epidemic in children and adults, differences in the incidence, and the current status of treatment. Last it explores possible causes and possible effective treatment measures."	杨斌斌;朱月玲	463	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	N/A	http://new.oversea.cnki.net/kcms/detail/61.1399.R.20200216.1319.004.html	儿童与成人新型冠状病毒肺炎(COVID-19)流行病学与治疗的现状分析	Epidemiology and treatment of novel coronavirus pneumonia (COVID-19) in children and adults
"Objective To investigate imaging manifestations of novel coronavirus(2019-nCoV) pneumonia(NCP) to provide concrete evidence for early diagnosis. Methods We studied CT imaging data and clinical findings(age, sex, clinical history, epidemiological history, and laboratory tests) for ten patients with real-time fluorescence polymerase chain reaction confirmed NCP. Results Ten patients(6 men and 4 women) aged 22 to 70 years met the criteria. Of the 10 patients, 8 presented with fever and dry cough; 9 had external or subpleural areas of bilaterel or unilateral lobes and the lesions were in the process of dynamic change. Meanwhile, the lesions had the characteristics of multifocality and diversity. Bronchial inflation signs, enlarged vascular lumens and blood vessel penetration sign were common while pleural effusion was rare. Conclusion The appearance of NCP had certain characteristics. When patients have typical imaging features combined with epidemiological history and positive 2019-nCoV nucleic acid, the diagnosis of NCP should be considered."	高璐;张静平;杜永浩;金晨望;牛刚;杨健;郭佑民;强永乾	382	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	N/A	http://new.oversea.cnki.net/kcms/detail/61.1399.r.20200213.1259.009.html	输入性新型冠状病毒肺炎的CT表现	CT features of patients with imported 2019-nCov-pneumonia
"In December 2019, a number of patients with pneumonia of unknown cause were found in Wuhan, China. At the initial stage, it was suspected that the disease was related to the history of exposure to a seafood wholesale market in Wuhan. Through deep sequencing of the virus, it was found that it was a kind of coronavirus that had never been seen before. The World Health Organization defined it as 2019 novel coronavirus, or 2019-nCoV for short. The virus is highly infectious. CT scanning of the chest plays an important role in screening and initial diagnosis of the disease. Radiographers have become the most vulnerable first-line group after fever clinic, infection department and intensive care unit. This paper first analyzes the difficulties in radiographers’ sensitivity control and their working characteristics. Then it points out that it is necessary to cultivate their awareness of aseptic disinfection and control infection comprehensively and systematically. Last the paper proposes an anti 2019-nCoV work plan of radiographer management, aiming to provide reference for all radiographers to develop coping strategies."	贾晓茜;李新雨;同维;史医蕾;张盼;李延寿;赵志福;王美玉;赵亮;张向辉;曹乐;樊钢练;张向利;丁晖;王德龙;牛刚;杨健;郭建新	386	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	imaging technique; 2019-nCoV; coronavirus; management strategy;	http://new.oversea.cnki.net/kcms/detail/61.1399.r.20200213.0838.002.html	影像技术应对新型冠状病毒感染肺炎的管理策略	Management strategies for imaging technique in response to pneumonia caused by novel coronavirus
"Objective To evaluate the mental health status of students aged 8 to 18 during the period of home isolation during the prevalence of novel coronavirus pneumonia (NCP), so as to provide a basis for psychological counseling for students in special periods. Methods A total of 396 students aged from 8 to 18 were assessed for anxiety/depression by Questionnaire Star survey on February 6th to 8th, 2020. All subjects filled out general information and the Screen for Child Anxiety Related Emotional Disorders(SCARED) were analyzed for the impact of NCP on children’ and adolescents’ mood and anxiety during home isolation. Results 1) The total score of SCARED in 396 students was 16.44±12.30, 87 (22.0%) with scores≥25 and 309 (78.0%) with scores＜25. The mean scores of 5 factors(somatization/panic, generalized anxiety, dissociative anxiety, social phobia and school phobia) and the total scores were compared between the two groups, and the differences were statistically significant (t=13.156, 19.524, 10.381, 13.964, 7.325, 23.371, P＜0.001). 2) Binary Logistic regression analysis showed that female students (OR=2.258, 95%CI:1.370—3.721, P＜0.001) and considering themselves in danger (OR=1.978, 95%CI :1.185—3.301, P=0.009) were risk factors for anxiety among students isolated at home during the epidemic. Conclusions The prevalence of NCP has some influence on students’ mood, especially for girls. Parents, schools and society should take timely measures to guide students to avoid anxiety in special times."	李少闻;王悦;杨媛媛;雷晓梅;杨玉凤	457	中国儿童保健杂志	Chinese Journal of Child Health Care	N/A	http://new.oversea.cnki.net/kcms/detail/61.1346.R.20200218.1257.004.html	新型冠状病毒肺炎流行居家隔离期间儿童青少年焦虑性情绪障碍的影响因素分析	Investigation on the influencing factors for anxiety related emotional disorders of children and adolescents with home quarantine during the prevalence of novel coronavirus pneumonia
"Objective To investigate the temporal variation of the clinical symptoms, nucleic acid detection and CT characteristics of novel coronavirus pneumonia(NCP) patients with clustered onset in families. Methods We made a retrospective analysis of the NCP patients(4 males and 3 females) with clustered onset in 3 families diagnosed in The First Affiliated Hospital of Xi’an Jiaotong University from January 27 to February 1, 2020. We analyzed the clinical data and CT findings. Results The CT signs in the three groups of families were consistent with early manifestations: multiple ground-glass opacity(GGO), under the pleura in both lungs, with or without thickening of small pulmonary vessels. In the first group, two people were confirmed with positive nucleic acid in the first diagnosis. The wife was asymptomatic, but the CT finding was positive. Her husband was symptomatic, and the first CT result was negative, but the CT was positive two days later. In the second group, the spouses had the onset at the same time, and both CT and nucleic acid were positive. In the third group, all the three people had the onset at the same time, and the CT results were all positive, but the son was diagnosed only after the third nucleic acid test, and the other two were positive at the first diagnosis. Conclusion There are time differences in clinical symptoms, nucleic acid detection, and CT manifestations of NCP in the early stage. These differences may be an important underlying factor for the spread of the disease. Correct understanding of the differences is beneficial to early blocking of the transmission pathways of crowd aggregation."	杜永浩;金晨望;杨健;陈天艳;张曦;张丹丹;杜红文;张蕴;郭佑民;牛刚	384	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	novel coronavirus pneumonia; tomography; X?ray computed; clinical characteristic;	http://new.oversea.cnki.net/kcms/detail/61.1399.r.20200213.0838.004.html	家庭聚集性早期新型冠状病毒肺炎的临床与CT表现初步探讨	Clinical features and CT signs of early family clustering novel coronavirus pneumonia
"Since December 2019, an outbreak of novel coronavirus pneumonia (NCP) has spread across China successively. Approved by the State Council, the National Health Commission of the People’s Republic of China has classified it into category-B infectious diseases in the list of the People’s Republic of China on the prevention and control of infectious diseases, and has regarded it as category-A infectious diseases in terms of the prevention and control measures on January 20th, 2020. Successive series of prevention and control measures was conducted such as isolating patients and medical observation of their close contacts. The gathering of vaccination units may increase the risk of spread and infection of the NCP, so that children and their guardians are placed under home quarantine, which will results in delayed vaccination. Children’s guardians and health care staff in primary health care institutes are in great need of knowing the immunogenicity and safety of delayed vaccination and the priority of vaccination after recovery of outpatient service. On the basis of the literature review of guidelines and a large number of literature at home and abroad, experts of Group for Disease Prevention and Vaccination, Society of Child Health, Chinese Preventive Medicine Association analyzed the influence of all kinds of different inoculum time and procedures on the safety and immunogenicity of vaccination, hoping to provide scientific evidence and professional advice in time the and eliminate anxiety panic of child guardians and confusion of vaccination workers on the front line concurrently."	王琳;白云骅;方拴锋;江蕙芸;谢露	234	中国儿童保健杂志	Chinese Journal of Child Health Care	N/A	http://new.oversea.cnki.net/kcms/detail/61.1346.R.20200210.1532.002.html	新型冠状病毒肺炎流行期间疫苗延迟接种安全性和有效性分析及接种建议（第一版）	"Immunization recommendations and immunogenicity and safety on the delayed vaccination during the prevalence of the novel coronavirus pneumonia in China Society of Child Health, Chinese Preventive Medicine Association"
"Objective To understand and explore the depression status and its influencing factors among children and adolescent students during the prevalence of novel coronavirus pneumonia (NCP), in order to provide reference for the psychological intervention for students in this area. Methods A self-designed general data questionnaire and Depression Self-rating Scale for Children (DSRS) were typed in www.wjx.cn. And the questionnaire was sent out to children and adolescent aged 8 to 18 years by Wechat APP from February 6th to 8th, 2020. Univariate and multivariate analysis were used to analyze the influencing factors associated with NCP by SPSS 22.0 software. Results Totally 396 valid questionnaire were returned. The average score of DSRS score was 7.35±5.10. Using 15 as the cut point of having depression symptoms, it was found that 41 students (10.4%) had depression symptoms obviously, and 355(89.6%) students scored less than 15. Multivariate analysis showed that anxiety score, dwelling area, fear of the NCP prevalence and age were influencing factors of DSRS score(P＜0.05). Logistic analysis indicated that anxiety(OR=4.284, 95%CI: 2.163～8.486, P＜0.001), dwelling in suburban and rural areas(OR=2.382, 95%CI: 1.120～5.069, P=0.024), and fear of NCP related events(OR=3.312,95%CI：1.210～9.064, P=0.020) were risk factors for depression of children and adolescent with home quarantine. Conclusion Psychological intervention should be strengthen in children and adolescents by family, school and the society, so as to reduce the panic and anxiety in children. Moreover, it is suggested to give more concern to older children in high grade as well as child and adolescent dwelling in suburban and rural areas, thereby reducing the depression of them during the NCP prevalence."	王悦;杨媛媛;李少闻;雷晓梅;杨玉凤	458	中国儿童保健杂志	Chinese Journal of Child Health Care	N/A	http://new.oversea.cnki.net/kcms/detail/61.1346.R.20200218.1248.002.html	新型冠状病毒肺炎流行期间居家儿童青少年抑郁情绪调查及影响因素分析	Investigation on the status of influencing factors for depression symptom of children and adolescents with home quarantine during the prevalence of novel coronavirus pneumonia
"Since December 2019, the novel coronavirus (2019-nCov) associated infection/pneumonia has emerged in Wuhan, Hubei in China. The State Council made arrangements for the prevention and control of the outbreak with strategies typically used for category-A infectious diseases even though the outbreak has been classified as a category-B infectious disease. With the progress of the outbreak, more cases of the novel coronavirus infection/pneumonia in children have been reported. Until now, it has been generally believed that the disease can occur in people with all different ages. Infections under 3 years old are rare, but a case of infant aged 36 hours has been reported. Based on the frontier clinical experience and the characteristics of the reported cases in children, we propose the strategies for graded prevention and control for children with infection/pneumonia caused by the novel coronavirus (2019-nCoV), for the reference of pediatric clinics and the general public."	应艳琴;温宇;赵瑾珠;刘艳;张建玲;叶枫;唐丽娜;何天祎;陈萍;高桃珍;王邦彦;蓝弘文;张偲;仇丽茹;郝燕;罗小平	151	中国儿童保健杂志	Chinese Journal of Child Health Care	N/A	http://new.oversea.cnki.net/kcms/detail/61.1346.R.20200205.1708.002.html	2019-nCoV病毒感染流行期间儿童分级防控建议	Recommendations for graded prevention and control for children during the outbreak of pneumonia caused by a novel coronavirus
"2019-nCoV is a kind of novel coronavirus isolated and identified from patients with pneumonia of unknown cause in December 2019 in Wuhan, China. According to the current data of patients with pneumonia of 2019-nCoV and the newly published relevant articles, we noticed that,besides the typical respiratory manifestations, some patients infected with 2019-nCoV presented cardiovascular manifestations. This article reviewed the main cardiac manifestations and put forward the treatment strategies regarding these cardiac symptoms."	郭栋;郭万刚;刘鹏云;马文帅;王川江;黄丽;李妍	449	心脏杂志	Chinese Heart Journal	N/A	http://new.oversea.cnki.net/kcms/detail/61.1268.R.20200214.0853.001.html	新型冠状病毒感染的心脏表现	Cardiovascular manifestations of 2019-nCoV infection
"After the occurrence of public health emergencies, as the most direct front position, how to carry out medical treatment orderly, effectively, rapidly and safely in a short time has become the focus and difficulty of epidemic control. After the outbreak of 2019 novel coronavirus pneumonia(2019-nCoV), West China Hospital of Sichuan University, as a large-scale general hospital under the supervision of the CPC central committee, put people’s life safety and health first, and attach great importance to the prevention and control of the epidemic. This paper introduces the ten measures taken by West China Hospital of Sichuan University to fight against the 2019-nCoV pneumonia, in order to provide reference for other hospitals."	文进;曾锐;徐才刚;赵欣;宗志勇;饶莉;李大江;王淼;吴晓东;黄进;曾勇;程南生;黄勇;张伟;李为民	416	中国循证医学杂志	Chinese Journal of Evidence-Based Medicine	2019-nCoV Pneumonia; Emergency management; General hospital;	http://new.oversea.cnki.net/kcms/detail/51.1656.R.20200212.0854.002.html	华西医院抗击新型冠状病毒肺炎疫情的十大管理举措	Ten measures to fight against the 2019-nCoV pneumonia in West China Hospital
"During the coronavirus disease 2019(COVID-19) epidemics, universities take responsibility for the health of their students and epidemic control. Our urgent recommendation focuses on four key questions of emergency management in universities following rigorous evidence-based approaches and provides timely suggestions to university managers, academic faculties and student affairs managers. We recommend universities during the COVID-19 epidemics should: 1) suspend offline lectures; 2) provide proper health education about the disease; 3) encourage face masks, but oppose using N95 masks on the campus; 4) encourage hand hygiene and provide sanitizing products on the campus."	张凤英;李舍予;李玲利;崔金波;田亚丽;李玲;李芸;杨婕;刘春娟;胡艳杰;俞静;刘雨薇;刘振谧;张猎;卿平;王星月;胡晓林;杜亮;王雨宁;陈鑫容;郝秋奎;李幼平;孙鑫;李为民;李卡	988	中国循证医学杂志	Chinese Journal of Evidence-Based Medicine	N/A	http://new.oversea.cnki.net/kcms/detail/51.1656.r.20200224.1026.002.html	新型冠状病毒肺炎疫情期间高校学生管理的华西紧急推荐	Emergency management in university students during coronavirus disease 2019epidemics: West China urgent recommendation
"At present, with the spread of novel coronavirus penumonia(NCP), the number of infected patients is gradually increasing. It is an important work to avoid cross-infection of NCP patients during emergency operations. As a key department of the hospital, the operating room needs to cooperate with anesthesiologists and surgeons to do a good job in preoperative preparation and evaluation, patient isolation transportation, intraoperative management and terminal disposal, as well as in formulation of protective processes at the same time. In this article, by combining with the guidelines on the prevention and treatment of NCP released by the National Health Commission, we put forward management and strategies of emergency operations on NCP patients."	陈亚丽;张淑利;张增梅;孙智慧;赵海运;张莹;李红强;殷德涛	390	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	N/A	http://new.oversea.cnki.net/kcms/detail/61.1399.R.20200213.0853.006.html	新型冠状病毒肺炎患者急诊手术手术室管理策略与建议	Management strategies and suggestions for operating room for emergency operations on novel coronavirus pneumonia patients
